Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 22:17:59,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:01,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:04,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:06,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:10,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:13,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:15,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:17,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:20,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:18:22,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:21,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:25,Port Scanning,192.168.1.1,N/A,"[49378, 49282, 49317, 55781, 50762, 58475, 64721, 55128, 52825, 56763, 49853]"
2025-12-15 22:32:27,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:30,Possible DDoS,23.44.236.210,N/A,15510
2025-12-15 22:32:35,Possible DDoS,23.44.236.210,N/A,15510
2025-12-15 22:32:39,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:32:41,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:43,Possible DDoS,23.44.236.210,N/A,15510
2025-12-15 22:32:46,Possible DDoS,23.44.236.210,N/A,15510
2025-12-15 22:32:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:51,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:32:54,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:32:56,Port Scanning,71.18.222.1,N/A,"[15555, 15556, 15557, 15495, 15565, 15538, 15542, 15545, 15547, 15549, 15550]"
2025-12-15 22:32:59,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:33:02,Port Scanning,172.217.194.109,N/A,"[15523, 15525, 15534, 15567, 15537, 15539, 15540, 15508, 15543, 15548, 15519]"
2025-12-15 22:33:04,Port Scanning,172.217.194.109,N/A,"[15521, 15523, 15525, 15534, 15567, 15537, 15539, 15540, 15508, 15543, 15548]"
2025-12-15 22:33:06,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:33:08,Port Scanning,71.18.222.1,N/A,"[15555, 15556, 15557, 15495, 15564, 15565, 15566, 15568, 15569, 15542, 15550]"
2025-12-15 22:33:11,Port Scanning,172.217.194.109,N/A,"[15521, 15534, 15567, 15537, 15570, 15539, 15540, 15572, 15543, 15548, 15519]"
2025-12-15 22:33:14,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:17,Port Scanning,71.18.222.1,N/A,"[15555, 15556, 15557, 15495, 15564, 15565, 15566, 15571, 15574, 15575, 15550]"
2025-12-15 22:33:20,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:23,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:33:25,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:33:28,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:33:30,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:33:32,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:35,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:37,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:33:39,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:43,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:33:45,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:48,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:33:51,Possible DDoS,23.53.243.54,N/A,20218
